贵州医科大学云漫湖校区: 106.466461,26.388861 | 安康大道6号
贵州医科大学: 106.715199,26.598190 | 北京路9号
贵州大学西校区: 106.659119,26.445875 | 甲秀南路515号
贵州师范大学花溪校区: 106.634940,26.384571 | 思雅路2号
贵州财经大学花溪校区: 106.651363,26.370125 | 大学城花燕路
贵州民族大学花溪校区: 106.632014,26.377062 | 花燕路与陶朱路交叉口西北20米
贵州中医药大学花溪校区: 106.619780,26.383830 | 党武镇花溪大学城栋青路
贵州理工学院花溪校区: 106.613418,26.379580 | 栋青路12号
遵义医科大学新蒲校区: 107.070617,27.721159 | 新蒲新区校园1号路
